threshold,stage,layer_name,retained_experts,total_experts,top_k
0.05,direct,model.3,3,3,3
0.05,direct,model.6,3,3,3
0.05,direct,model.9,3,3,3
0.05,direct,model.12,3,3,3
0.1,direct,model.3,3,3,3
0.1,direct,model.6,3,3,3
0.1,direct,model.9,3,3,3
0.1,direct,model.12,3,3,3
0.15,direct,model.3,3,3,3
0.15,direct,model.6,3,3,3
0.15,direct,model.9,3,3,3
0.15,direct,model.12,3,3,3
0.2,direct,model.3,3,3,3
0.2,direct,model.6,3,3,3
0.2,direct,model.9,3,3,3
0.2,direct,model.12,3,3,3
0.3,direct,model.3,3,3,3
0.3,direct,model.6,3,3,3
0.3,direct,model.9,3,3,3
0.3,direct,model.12,3,3,3
