threshold,stage,layer_name,usage_min,usage_max,layer_gini,avg_weight_min,avg_weight_max
0.05,direct,model.12.routing,0.333333333,0.333333333,0.000000000,0.319209963,0.354007146
0.05,direct,model.3.routing,0.333333333,0.333333333,0.000000000,0.288069812,0.361427441
0.05,direct,model.6.routing,0.333333333,0.333333333,0.000000000,0.272899945,0.415658481
0.05,direct,model.9.routing,0.333333333,0.333333333,0.000000000,0.316101341,0.348520263
0.1,direct,model.12.routing,0.333333333,0.333333333,0.000000000,0.319238219,0.354051231
0.1,direct,model.3.routing,0.333333333,0.333333333,0.000000000,0.288046008,0.361524847
0.1,direct,model.6.routing,0.333333333,0.333333333,0.000000000,0.272934885,0.415770931
0.1,direct,model.9.routing,0.333333333,0.333333333,0.000000000,0.316084973,0.348517100
0.15,direct,model.12.routing,0.333332531,0.333334938,0.000001609,0.319210005,0.354007184
0.15,direct,model.3.routing,0.333332531,0.333334938,0.000001609,0.288069567,0.361427507
0.15,direct,model.6.routing,0.333332531,0.333334938,0.000001609,0.272900044,0.415658407
0.15,direct,model.9.routing,0.333332531,0.333334938,0.000001609,0.316101513,0.348524930
0.2,direct,model.12.routing,0.333333333,0.333333333,0.000000000,0.319210005,0.354007184
0.2,direct,model.3.routing,0.333332531,0.333334938,0.000001609,0.288069567,0.361427507
0.2,direct,model.6.routing,0.333332531,0.333334938,0.000001609,0.272900044,0.415658407
0.2,direct,model.9.routing,0.333333333,0.333333333,0.000000000,0.316101513,0.348520226
0.3,direct,model.12.routing,0.333333333,0.333333333,0.000000000,0.319210005,0.354007184
0.3,direct,model.3.routing,0.333332531,0.333334938,0.000001609,0.288069567,0.361427507
0.3,direct,model.6.routing,0.333332531,0.333334938,0.000001609,0.272900044,0.415658407
0.3,direct,model.9.routing,0.333333333,0.333333333,0.000000000,0.316101513,0.348520226
